Code,age_class,actual_age,wet_weight_g,species,migiobox,spawn_time,recruit_time,flag_migrate,migrate_time_adult_1,migrate_time_adult_2,migrate_return_adult_1,migrate_return_adult_2,migrate_time_juv_1,migrate_time_juv_2,migrate_return_juv_1,migrate_return_juv_2,age_maturity,adult_initial_1,adult_initial_2,juv_initial_1,juv_initial_2,struct_N_mg,resN_mg,mum_growth_rate,clearance,exponential_decay,proportional_age_distribution,avg_ind_w,total_numbers,numbers_at_age,prop_age_j,proportional_age_dist_juv,prop_age_a,proportional_age_dist_a,tot_biomass_age,prop_biomass_age,age_class_juv,numbers_init,nums_out_mig,recruit_salmon,Name,Long Name
HEP,0,0,0.977186648,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,2.348441835,6.223370864,3.56349417,0.356349417,1.605443432,0.38586237,0.377059556,465614608,179663157,1,0.333333333,0,0,175564438.1,0.01364349,1,179663157,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,1,1,6.26098668,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,15.04683172,39.87410407,13.078012,1.3078012,1,0.240346289,1.504804911,465614608,111908743,1,0.333333333,0,0,700659149.3,0.05444973,1,111908743,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,2,2,30.56897853,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,73.46546149,194.683473,39.68153234,3.968153234,0.622880869,0.149707105,4.57639328,465614608,69705816,1,0.333333333,0,0,2130835593,0.165591818,1,69705816,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,3,3,63.49215792,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,152.5886996,404.3600541,66.19052825,6.619052825,0.387980577,0.093249692,5.920624151,465614608,43418419,0,0,0,0,2756729116,0.21423135,0,43418419,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,4,4,95.13639002,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,228.6382841,605.8914529,87.8485208,8.78485208,0.241665679,0.058083449,5.525849657,465614608,27044503,0,0,1,0.25,2572916385,0.199946868,0,27044503,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,5,5,121.1496533,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,291.155139,771.5611185,104.0440643,10.40440643,0.150528928,0.036179069,4.38308169,465614608,16845504,0,0,1,0.25,2040826970,0.158597055,0,16845504,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,6,6,140.8173267,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,338.4218377,896.8178702,115.5981949,11.55981949,0.09376159,0.02253525,3.173353669,465614608,10492742,0,0,1,0.25,1477559878,0.114824357,0,10492742,0,NA,Herring_PS,Pacific Herring Puget Sound
HEP,7,7,154.9802518,Pacific Herring Puget Sound,1,15,90,1,182,NA,258,NA,182,NA,258,NA,3,1,NA,1,NA,372.4591488,987.0167444,123.6190037,12.36190037,0.0584023,0.014036776,2.1754231,465614608,6535729,0,0,1,0.25,1012908926,0.078715332,0,6535729,0,NA,Herring_PS,Pacific Herring Puget Sound
HEC,0,0,1.090246048,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,2.620153924,6.943407901,3.847325672,0.384732567,1.759447783,0.440071028,0.479785699,64012173,28169903,1,0.5,0,0,30712125.42,0.020723425,1,28169903,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,1,1,6.960183861,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,16.72719024,44.32705415,14.08400868,1.408400868,1,0.250118834,1.740873073,64012173,16010651,1,0.5,0,0,111437074.7,0.075193686,1,16010651,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,2,2,33.76556858,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,81.14772549,215.0414726,42.54256124,4.254256124,0.568360147,0.142157577,4.800031426,64012173,9099816,0,0,0,0,307260461.2,0.207328186,0,9099816,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,3,3,69.75551095,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,167.6412183,444.2492286,70.69631102,7.069631102,0.323033256,0.080796701,5.636015196,64012173,5171973,0,0,1,0.25,360773619.2,0.243436919,0,5171973,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,4,4,104.0601572,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,250.0844921,662.7239041,93.53861172,9.353861172,0.183599229,0.045921625,4.778611527,64012173,2939544,0,0,1,0.25,305889410.6,0.206403051,0,2939544,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,5,5,132.0409337,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,317.3298093,840.9239949,110.506493,11.0506493,0.104350485,0.026100022,3.44627122,64012173,1670720,0,0,1,0.25,220603428.7,0.148855172,0,1670720,0,NA,Herring_Cherry,Pacific Herring Cherry Point
HEC,6,6,153.0420693,Pacific Herring Cherry Point,1,74,90,1,182,NA,258,NA,182,NA,258,NA,2,1,NA,1,NA,367.8011759,974.6731164,122.5347774,12.25347774,0.059308657,0.014834212,2.270258517,64012173,949571,0,0,1,0.25,145324310.8,0.09805956,0,949571,0,NA,Herring_Cherry,Pacific Herring Cherry Point
FPS,0,0,0.550063273,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,1.321949706,3.503166722,2.383310573,0.238331057,1.433329415,0.314646455,0.173075459,247758213,77956244,1,0.5,0,0,42880866.71,0.006106645,1,77956244,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,1,0.9,3.465712143,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,8.329036632,22.07194708,8.64463234,0.864463234,1,0.219521383,0.760797921,247758213,54388226,1,0.5,0,0,188493935.3,0.026843339,1,54388226,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,2,1.8,18.0748368,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,43.43868492,115.1125151,27.4690636,2.74690636,0.697676326,0.153154872,2.76824931,247758213,37945378,0,0,0,0,685856514.6,0.097672525,0,37945378,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,3,2.7,41.15649789,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,98.91011267,262.1117986,48.86508678,4.886508678,0.486752256,0.106852528,4.39767585,247758213,26473592,0,0,1,0.166666667,1089560333,0.155163809,0,26473592,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,4,3.6,67.5119402,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,162.2493155,429.9606862,69.09684188,6.909684188,0.339595526,0.074548479,5.032912475,247758213,18469999,0,0,1,0.166666667,1246945468,0.177576957,0,18469999,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,5,4.5,93.30020438,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,224.2254371,594.1974084,86.65818768,8.665818768,0.236927759,0.052010709,4.852609793,247758213,12886081,0,0,1,0.166666667,1202273991,0.171215311,0,12886081,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,6,5.4,116.4243411,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,279.7989451,741.4672046,101.1864682,10.11864682,0.165298888,0.03628664,4.224648206,247758213,8990314,0,0,1,0.166666667,1046691383,0.149058861,0,8990314,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,7,6.3,136.0643429,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,326.9991419,866.5477262,112.8529239,11.28529239,0.115325121,0.02531633,3.444649808,247758213,6272329,0,0,1,0.166666667,853440324.1,0.121538062,0,6272329,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
FPS,8,7.2,152.1592992,Small Planktivorous Fish,0,138,30,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,365.6796423,969.0510522,122.0395887,12.20395887,0.080459607,0.017662604,2.687529463,247758213,4376056,0,0,1,0.166666667,665857614,0.094824491,0,4376056,0,NA,Sm_Plank_Fish,Small Planktivorous Fish
POP,0,0,0.298628078,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,0.717683437,1.901861108,1.55411529,0.155411529,2.509917791,0.601732795,0.179694308,228772930,137660175,1,0.5,0,0,41109193.49,0.037667504,1,137660175,0,NA,Perch_Fish,Perch
POP,1,0.9,2.144329544,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,5.153399529,13.65650876,6.177259645,0.617725965,1,0.239742033,0.514085925,228772930,54846488,1,0.5,0,0,117608944.6,0.107762643,1,54846488,0,NA,Perch_Fish,Perch
POP,2,1.8,12.71427919,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,30.55582598,80.97293886,21.47316229,2.147316229,0.398419424,0.095517883,1.21444103,228772930,21851906,0,0,0,0,277831233.7,0.254571012,0,21851906,0,NA,Perch_Fish,Perch
POP,3,2.7,31.12364394,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,74.79847136,198.2159491,40.18417832,4.018417832,0.158738037,0.03805618,1.184446991,228772930,8706224,0,0,1,0.166666667,270969415.8,0.248283671,0,8706224,0,NA,Perch_Fish,Perch
POP,4,3.6,53.61788122,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,128.858162,341.4741294,58.80422619,5.880422619,0.063244317,0.015162321,0.812971539,228772930,3468729,0,0,1,0.166666667,185985899.5,0.170415032,0,3468729,0,NA,Perch_Fish,Perch
POP,5,4.5,76.80392395,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,184.5804469,489.1381843,75.62409177,7.562409177,0.025197764,0.006040963,0.463969685,228772930,1382009,0,0,1,0.166666667,106143714.1,0.09725729,0,1382009,0,NA,Perch_Fish,Perch
POP,6,5.4,98.49607618,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,236.7125118,627.2881565,90.00881342,9.000881342,0.010039279,0.002406837,0.237064012,228772930,550620,0,0,1,0.166666667,54233909.47,0.049693409,0,550620,0,NA,Perch_Fish,Perch
POP,7,6.3,117.5953003,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,282.6130746,748.9246478,101.8977892,10.18977892,0.003999844,9.59E-04,0.112765739,228772930,219378,0,0,1,0.166666667,25797821.8,0.02363801,0,219378,0,NA,Perch_Fish,Perch
POP,8,7.2,133.7467463,Perch,0,172,150,0,364,NA,0,NA,364,NA,0,NA,2,1,1,1,1,321.429335,851.7877378,111.5038964,11.15038964,0.001593615,3.82E-04,0.051098827,228772930,87405,0,0,1,0.166666667,11690134.36,0.010711428,0,87405,0,NA,Perch_Fish,Perch
CHY,0,0,93.57038727,Chinook Hatch Yearling,0.69,258,472,1,1,NA,0,NA,213,NA,168,NA,2,1,1,0,1,224.8747591,595.9181117,86.83377553,8.683377553,2.559981418,0.611544903,57.22249342,60636,37082,1,0.5,0,0,3469777.101,0.074526037,1,0,37082,107,ChinookY_Fish,Chinook Hatch Yearling
CHY,1,1,555.3856299,Chinook Hatch Yearling,0.69,258,472,1,1,NA,0,NA,213,NA,168,NA,2,1,1,0,1,1334.740759,3537.063012,302.070304,30.2070304,1,0.238886462,132.674108,60636,14486,1,0.5,0,0,8045316.235,0.172802321,1,9995.34,4491,107,ChinookY_Fish,Chinook Hatch Yearling
